category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2,notes
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.66),6.661538462,"(1e-05, 100000.0)",10,80,100,0.408367689,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.83),6.830769231,"(1e-05, 100000.0)",10,80,100,-0.750349637,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.83),6.830769231,"(1e-05, 100000.0)",10,80,100,0.388273161,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.83),6.830769231,"(1e-05, 100000.0)",10,80,100,0.400473312,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6.83),6.830769231,"(1e-05, 100000.0)",10,80,100,0.464680155,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=7),7,"(1e-05, 100000.0)",10,80,100,-3.060650221,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=7),7,"(1e-05, 100000.0)",10,80,100,-1.657030372,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=7),7,"(1e-05, 100000.0)",10,80,100,0.027020742,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=7),7,"(1e-05, 100000.0)",10,80,100,0.366141552,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=7),7,"(1e-05, 100000.0)",10,80,100,0.370299596,
